timestamp,avg,min_v,max_v,nighttime,time_diff_min,T_diff,type,ID
2022-12-07 09:15:00+00:00,59.8,59.1,60.3,False,15,1.1999999999999957,forward,S3C1
2022-12-07 09:15:00+00:00,59.1,58.5,59.6,False,15,1.1000000000000014,forward,S3C1
2022-12-07 09:30:00+00:00,60.6,60.1,61.2,False,15,1.1000000000000014,forward,S3C1
2022-12-07 09:30:00+00:00,59.4,59.2,59.6,False,15,0.3999999999999986,forward,S3C1
2022-12-07 09:45:00+00:00,62.2,61.3,63.1,False,15,1.8000000000000043,forward,S3C1
2022-12-07 09:45:00+00:00,57.6,56.0,59.2,False,15,3.200000000000003,forward,S3C1
2022-12-07 10:00:00+00:00,64.1,63.2,65.1,False,15,1.8999999999999915,forward,S3C1
2022-12-07 10:00:00+00:00,58.1,55.8,60.5,False,15,4.700000000000003,forward,S3C1
2022-12-07 10:15:00+00:00,65.8,65.2,66.3,False,15,1.0999999999999943,forward,S3C1
2022-12-07 10:15:00+00:00,62.2,60.6,63.9,False,15,3.299999999999997,forward,S3C1
2022-12-07 10:30:00+00:00,65.9,65.7,66.2,False,15,0.5,forward,S3C1
2022-12-07 10:30:00+00:00,64.0,63.9,64.0,False,15,0.10000000000000142,forward,S3C1
2022-12-07 10:45:00+00:00,66.1,64.7,67.1,False,15,2.3999999999999915,forward,S3C1
2022-12-07 10:45:00+00:00,64.7,63.9,65.4,False,15,1.500000000000007,forward,S3C1
2022-12-07 11:00:00+00:00,64.8,64.4,65.2,False,15,0.7999999999999972,forward,S3C1
2022-12-07 11:00:00+00:00,63.9,63.7,64.2,False,15,0.5,forward,S3C1
2022-12-07 11:15:00+00:00,64.8,64.3,65.2,False,15,0.9000000000000057,forward,S3C1
2022-12-07 11:15:00+00:00,63.6,63.4,63.8,False,15,0.3999999999999986,forward,S3C1
2022-12-07 11:30:00+00:00,63.8,62.0,65.2,False,15,3.200000000000003,forward,S3C1
2022-12-07 11:30:00+00:00,62.9,62.1,63.7,False,15,1.6000000000000014,forward,S3C1
2022-12-07 11:45:00+00:00,60.9,59.8,61.9,False,15,2.1000000000000014,forward,S3C1
2022-12-07 11:45:00+00:00,61.7,58.0,63.5,False,15,5.5,forward,S3C1
2022-12-07 12:00:00+00:00,58.0,56.9,59.7,False,15,2.8000000000000043,forward,S3C1
2022-12-07 12:00:00+00:00,59.3,56.9,61.4,False,15,4.5,forward,S3C1
2022-12-07 12:15:00+00:00,57.9,56.2,59.9,False,15,3.6999999999999957,forward,S3C1
2022-12-07 12:15:00+00:00,58.7,56.4,62.2,False,15,5.800000000000004,forward,S3C1
2022-12-07 12:30:00+00:00,56.9,55.2,58.2,False,15,3.0,forward,S3C1
2022-12-07 12:30:00+00:00,58.5,55.9,61.8,False,15,5.899999999999999,forward,S3C1
2022-12-07 12:45:00+00:00,56.8,54.9,59.1,False,15,4.200000000000003,forward,S3C1
