timestamp,avg,min_v,max_v,stddev_v
"2025-01-21T18:00:00Z","56.9","56.2","57.8","null"
"2025-01-13T17:00:00Z","55.7","55.4","56.4","null"
"2025-01-21T20:00:00Z","57.3","56.8","58.2","null"
"2025-02-15T06:00:00Z","60.6","59.6","61.6","null"
"2025-01-06T17:00:00Z","55.2","49.8","59.6","null"
"2025-02-15T04:00:00Z","60.3","58.9","62.1","null"
"2025-02-04T12:00:00Z","58.0","57.4","58.4","null"
"2025-01-13T11:00:00Z","57.7","57.4","58.4","null"
"2025-01-06T01:00:00Z","61.6","60.0","63.1","null"
"2025-02-14T08:00:00Z","58.7","58.1","59.1","null"
"2025-02-28T02:00:00Z","61.9","60.6","63.2","null"
"2025-02-24T04:00:00Z","62.0","60.6","63.2","null"
"2025-02-25T00:00:00Z","62.5","61.1","64.1","null"
"2025-01-12T01:00:00Z","60.0","60.0","60.0","null"
"2025-02-14T23:00:00Z","60.1","58.8","61.5","null"
"2025-02-02T04:00:00Z","61.1","59.6","62.6","null"
"2025-01-31T09:00:00Z","59.9","59.1","60.6","null"
"2025-01-22T16:00:00Z","56.7","56.1","57.6","null"
"2025-01-21T19:00:00Z","57.2","56.8","57.8","null"
"2025-01-24T18:00:00Z","59.4","58.6","60.1","null"
"2025-01-13T07:00:00Z","53.6","49.1","57.0","null"
"2025-01-09T11:00:00Z","59.3","58.5","60.0","null"
"2025-02-03T23:00:00Z","60.5","58.8","62.2","null"
"2025-01-16T09:00:00Z","59.5","58.9","60.4","null"
"2025-02-23T03:00:00Z","62.4","61.2","63.8","null"
"2025-01-08T12:00:00Z","58.8","58.1","59.6","null"
"2025-02-15T18:00:00Z","58.4","58.1","58.6","null"
"2025-02-25T12:00:00Z","62.2","60.6","63.7","null"
"2025-01-05T16:00:00Z","57.1","56.3","57.8","null"
"2025-01-18T06:00:00Z","59.8","59.2","60.2","null"
"2025-01-03T15:00:00Z","58.9","58.2","59.7","null"
"2025-01-03T22:00:00Z","59.6","58.7","60.2","null"
"2025-02-01T18:00:00Z","59.6","58.6","60.6","null"
"2025-02-19T13:00:00Z","59.3","58.8","59.8","null"
"2025-01-14T20:00:00Z","58.0","57.4","58.4","null"
"2025-01-03T12:00:00Z","58.8","58.2","59.7","null"
"2025-02-08T01:00:00Z","61.1","59.7","62.3","null"
"2025-02-12T02:00:00Z","61.5","59.8","62.8","null"
"2025-01-10T20:00:00Z","58.7","58.0","59.5","null"
"2025-01-20T07:00:00Z","58.6","58.1","59.1","null"
"2025-02-18T12:00:00Z","59.3","58.7","59.7","null"
"2025-02-21T22:00:00Z","61.7","60.5","63.1","null"
"2025-01-07T22:00:00Z","61.2","59.5","63.0","null"
"2025-01-07T15:00:00Z","59.0","58.0","60.0","null"
"2025-02-08T02:00:00Z","61.0","59.6","62.2","null"
"2025-01-22T17:00:00Z","56.5","55.6","57.6","null"
"2025-01-05T00:00:00Z","61.5","59.8","62.8","null"
"2025-01-28T22:00:00Z","62.1","60.4","63.6","null"
"2025-02-20T12:00:00Z","58.9","58.3","59.3","null"
"2025-03-01T23:00:00Z","61.3","59.9","62.6","null"
"2025-01-26T21:00:00Z","61.4","60.0","63.0","null"
"2025-03-01T07:00:00Z","60.2","58.6","61.6","null"
"2025-01-12T19:00:00Z","57.0","56.5","57.5","null"
"2025-01-03T21:00:00Z","59.4","58.7","60.2","null"
"2025-01-16T07:00:00Z","59.3","58.4","59.9","null"
"2025-02-22T07:00:00Z","60.8","58.9","62.4","null"
"2025-01-16T12:00:00Z","59.3","58.4","59.9","null"
"2025-01-03T14:00:00Z","58.6","57.7","59.2","null"
"2025-01-04T12:00:00Z","58.1","57.2","58.8","null"
"2025-02-19T16:00:00Z","58.0","57.3","58.8","null"
"2025-02-14T01:00:00Z","60.3","59.0","61.6","null"
"2025-01-17T05:00:00Z","59.7","58.7","61.2","null"
"2025-02-14T12:00:00Z","59.3","58.6","60.1","null"
"2025-02-15T22:00:00Z","60.0","58.6","61.1","null"
"2025-01-09T22:00:00Z","59.9","59.0","61.0","null"
"2025-01-05T01:00:00Z","61.8","60.2","63.3","null"
"2025-02-01T06:00:00Z","60.8","59.1","62.2","null"
"2025-02-26T15:00:00Z","61.5","60.1","63.2","null"
"2025-02-19T14:00:00Z","59.6","59.3","59.8","null"
"2025-01-15T11:00:00Z","59.6","58.6","60.6","null"
"2025-02-03T10:00:00Z","59.7","59.4","59.9","null"
"2025-01-28T07:00:00Z","61.9","61.6","62.1","null"
"2025-01-30T15:00:00Z","61.1","59.6","62.8","null"
"2025-01-26T06:00:00Z","61.0","59.0","62.7","null"
"2025-01-18T03:00:00Z","60.5","59.2","62.2","null"
"2025-01-19T04:00:00Z","60.4","60.1","60.6","null"
"2025-01-31T02:00:00Z","62.1","60.8","63.4","null"
"2025-01-29T16:00:00Z","59.3","58.7","60.2","null"
"2025-02-20T07:00:00Z","58.4","57.8","58.8","null"
"2025-01-22T02:00:00Z","59.7","58.5","61.0","null"
"2025-02-09T05:00:00Z","60.4","58.8","61.8","null"
"2025-02-22T02:00:00Z","62.0","60.5","63.1","null"
"2025-02-04T13:00:00Z","58.4","57.9","58.9","null"
"2025-02-20T04:00:00Z","59.0","58.3","59.8","null"
"2025-02-14T14:00:00Z","59.1","58.6","59.6","null"
"2025-02-12T20:00:00Z","57.9","57.2","58.8","null"
"2025-01-13T06:00:00Z","56.5","55.5","57.5","null"
"2025-01-05T10:00:00Z","57.6","56.8","58.3","null"
"2025-01-09T08:00:00Z","59.1","58.5","59.5","null"
"2025-02-02T23:00:00Z","60.7","58.9","62.4","null"
"2025-01-28T18:00:00Z","59.9","59.3","60.3","null"
"2025-02-27T13:00:00Z","61.4","59.9","63.1","null"
"2025-01-15T23:00:00Z","61.3","59.9","63.1","null"
"2025-02-18T17:00:00Z","57.1","56.2","57.7","null"
"2025-02-12T00:00:00Z","61.4","59.5","63.0","null"
"2025-02-21T04:00:00Z","60.4","59.0","61.9","null"
"2025-02-15T11:00:00Z","58.9","58.6","59.6","null"
"2025-01-06T09:00:00Z","62.0","60.0","63.6","null"
"2025-02-22T22:00:00Z","62.1","60.6","63.6","null"
"2025-01-26T22:00:00Z","61.4","59.5","63.1","null"
"2025-01-27T13:00:00Z","61.6","59.1","63.2","null"
"2025-01-27T07:00:00Z","60.1","59.6","60.6","null"
"2025-02-04T23:00:00Z","60.9","59.8","62.4","null"
"2025-01-11T11:00:00Z","57.4","57.0","58.0","null"
"2025-02-17T13:00:00Z","59.1","58.8","59.3","null"
"2025-01-21T15:00:00Z","58.1","57.8","58.8","null"
"2025-01-09T20:00:00Z","59.2","58.5","60.0","null"
"2025-02-01T05:00:00Z","61.3","59.8","62.8","null"
"2025-01-14T03:00:00Z","58.9","58.4","59.4","null"
"2025-02-26T23:00:00Z","62.0","60.0","63.6","null"
"2025-01-17T08:00:00Z","57.9","56.9","58.9","null"
"2025-02-04T16:00:00Z","57.7","56.9","58.4","null"
"2025-01-03T04:00:00Z","61.2","59.7","62.7","null"
"2025-01-05T12:00:00Z","57.9","57.3","58.3","null"
"2025-01-12T05:00:00Z","59.4","59.0","60.0","null"
"2025-02-09T21:00:00Z","60.9","59.6","62.1","null"
"2025-01-15T22:00:00Z","61.7","60.6","62.6","null"
"2025-01-13T08:00:00Z","50.5","44.6","55.9","null"
"2025-02-09T09:00:00Z","58.6","58.1","59.1","null"
"2025-02-27T11:00:00Z","61.4","59.3","62.8","null"
"2025-01-02T06:00:00Z","48.4","47.1","49.6","null"
"2025-02-26T13:00:00Z","61.5","60.1","63.1","null"
"2025-02-08T13:00:00Z","58.8","58.6","59.1","null"
"2025-02-17T20:00:00Z","58.3","57.8","58.8","null"
"2025-02-20T05:00:00Z","58.4","57.8","58.8","null"
"2025-02-25T14:00:00Z","62.2","60.8","63.8","null"
"2025-01-31T01:00:00Z","61.9","60.3","63.3","null"
"2025-02-21T08:00:00Z","58.1","55.2","60.4","null"
"2025-01-13T18:00:00Z","56.1","55.9","56.4","null"
"2025-03-01T11:00:00Z","60.8","59.0","62.6","null"
"2025-02-10T01:00:00Z","61.5","60.0","63.0","null"
"2025-02-01T07:00:00Z","59.9","58.6","61.6","null"
"2025-01-15T08:00:00Z","59.4","58.5","60.0","null"
"2025-01-30T01:00:00Z","62.0","60.6","63.2","null"
"2025-01-29T19:00:00Z","60.9","60.2","61.7","null"
"2025-01-14T16:00:00Z","57.5","56.9","57.9","null"
"2025-01-19T00:00:00Z","59.8","59.6","60.1","null"
"2025-02-05T07:00:00Z","58.6","58.1","59.1","null"
"2025-02-09T00:00:00Z","60.8","59.2","62.2","null"
"2025-01-04T11:00:00Z","57.5","56.8","58.2","null"
"2025-02-27T06:00:00Z","60.6","58.8","62.3","null"
"2025-01-30T00:00:00Z","61.7","60.2","63.2","null"
"2025-01-24T04:00:00Z","59.6","57.9","61.3","null"
"2025-02-16T10:00:00Z","58.8","58.3","59.3","null"
"2025-02-16T04:00:00Z","60.4","59.1","61.8","null"
"2025-02-13T11:00:00Z","58.8","58.2","59.2","null"
"2025-02-05T00:00:00Z","60.5","58.8","61.9","null"
"2025-02-16T20:00:00Z","58.6","58.3","58.8","null"
"2025-01-12T20:00:00Z","57.6","57.0","58.0","null"
"2025-02-20T22:00:00Z","60.5","59.3","61.8","null"
"2025-02-19T18:00:00Z","57.9","57.3","58.3","null"
"2025-02-21T16:00:00Z","60.5","59.1","61.7","null"
"2025-02-25T20:00:00Z","61.4","59.8","62.9","null"
"2025-02-01T21:00:00Z","60.3","59.1","61.6","null"
"2025-02-24T20:00:00Z","61.4","59.9","62.6","null"
"2025-02-24T05:00:00Z","61.3","59.5","63.2","null"
"2025-01-15T03:00:00Z","61.2","59.6","63.1","null"
"2025-01-12T18:00:00Z","56.3","55.5","57.0","null"
"2025-02-01T14:00:00Z","58.2","57.1","59.1","null"
"2025-03-01T22:00:00Z","61.1","59.6","62.6","null"
"2025-02-27T09:00:00Z","61.1","59.6","62.6","null"
"2025-02-02T16:00:00Z","57.6","56.6","58.6","null"
"2025-03-01T05:00:00Z","61.2","59.4","62.5","null"
"2025-01-24T17:00:00Z","59.0","58.6","59.6","null"
"2025-02-23T21:00:00Z","61.5","60.1","63.1","null"
"2025-01-11T01:00:00Z","61.8","60.4","63.0","null"
"2025-02-21T12:00:00Z","60.3","58.9","61.9","null"
"2025-01-27T09:00:00Z","62.3","61.6","63.1","null"
"2025-02-14T18:00:00Z","58.0","57.6","58.6","null"
"2025-01-06T19:00:00Z","59.4","58.7","60.7","null"
"2025-01-25T16:00:00Z","58.9","58.9","58.9","null"
"2025-02-14T11:00:00Z","58.9","58.6","59.1","null"
"2025-02-28T13:00:00Z","60.7","58.9","62.2","null"
"2025-01-27T19:00:00Z","62.2","62.0","62.5","null"
"2025-02-14T20:00:00Z","59.1","58.6","59.6","null"
"2025-01-04T01:00:00Z","61.5","60.1","63.1","null"
"2025-02-24T17:00:00Z","61.2","59.8","62.8","null"
"2025-02-04T05:00:00Z","59.4","57.9","60.9","null"
"2025-01-31T19:00:00Z","59.9","59.1","60.6","null"
"2025-02-22T21:00:00Z","61.6","60.1","63.4","null"
"2025-01-02T07:00:00Z","47.1","46.1","48.1","null"
"2025-01-07T00:00:00Z","61.6","59.9","63.1","null"
"2025-01-22T12:00:00Z","58.4","57.4","58.9","null"
"2025-01-12T17:00:00Z","56.2","55.5","57.0","null"
"2025-02-18T18:00:00Z","57.3","56.7","57.7","null"
"2025-02-10T17:00:00Z","59.0","58.4","59.4","null"
"2025-03-01T14:00:00Z","61.0","59.2","62.4","null"
"2025-01-09T23:00:00Z","61.8","61.5","62.0","null"
"2025-02-03T12:00:00Z","60.2","59.9","60.4","null"
"2025-02-10T19:00:00Z","59.3","58.9","59.9","null"
"2025-01-22T18:00:00Z","56.6","56.1","57.1","null"
"2025-01-18T16:00:00Z","57.3","56.6","57.6","null"
"2025-03-02T00:00:00Z","61.5","59.9","63.0","null"
"2025-02-26T08:00:00Z","61.1","59.8","62.3","null"
"2025-01-19T15:00:00Z","57.6","57.1","58.1","null"
"2025-02-20T19:00:00Z","59.1","58.3","59.8","null"
"2025-02-18T15:00:00Z","58.9","58.2","59.7","null"
"2025-02-26T03:00:00Z","62.5","61.2","63.8","null"
"2025-02-25T19:00:00Z","61.1","59.4","62.9","null"
"2025-03-01T13:00:00Z","60.6","58.4","62.4","null"
"2025-01-10T05:00:00Z","59.4","58.5","61.0","null"
"2025-01-16T06:00:00Z","58.7","57.9","59.4","null"
"2025-02-08T11:00:00Z","58.6","58.1","59.1","null"
"2025-02-14T10:00:00Z","59.2","58.6","59.6","null"
"2025-01-31T11:00:00Z","61.1","60.6","61.6","null"
"2025-01-17T00:00:00Z","61.0","59.6","62.6","null"
"2025-02-09T10:00:00Z","58.4","58.1","58.6","null"
"2025-01-31T05:00:00Z","60.3","58.6","61.8","null"
"2025-02-05T23:00:00Z","61.8","60.1","63.6","null"
"2025-01-21T05:00:00Z","58.5","57.8","59.2","null"
"2025-01-20T02:00:00Z","59.8","58.2","61.4","null"
"2025-03-01T02:00:00Z","61.7","60.0","63.0","null"
"2025-02-08T05:00:00Z","60.4","58.9","61.8","null"
"2025-01-11T20:00:00Z","58.2","57.5","59.0","null"
"2025-01-20T08:00:00Z","57.2","56.6","57.6","null"
"2025-02-27T19:00:00Z","60.7","59.0","62.2","null"
"2025-02-22T14:00:00Z","60.6","59.4","62.0","null"
"2025-01-16T14:00:00Z","59.2","58.4","59.9","null"
"2025-01-15T20:00:00Z","58.9","58.6","59.1","null"
"2025-01-15T10:00:00Z","56.0","51.2","59.6","null"
"2025-01-03T10:00:00Z","58.1","57.2","59.2","null"
"2025-01-20T19:00:00Z","56.6","56.0","57.0","null"
"2025-01-21T03:00:00Z","60.2","58.8","61.2","null"
"2025-02-02T21:00:00Z","60.3","59.6","61.1","null"
"2025-02-05T01:00:00Z","60.9","59.5","62.5","null"
"2025-01-12T08:00:00Z","56.8","56.0","57.5","null"
"2025-02-11T18:00:00Z","58.9","58.6","59.6","null"
"2025-02-11T08:00:00Z","59.4","59.1","59.6","null"
"2025-01-24T02:00:00Z","59.9","58.3","61.4","null"
"2025-01-16T13:00:00Z","58.9","58.4","59.4","null"
"2025-01-03T20:00:00Z","58.4","57.7","59.2","null"
"2025-01-12T10:00:00Z","57.1","56.5","58.0","null"
"2025-01-03T11:00:00Z","57.9","57.2","58.7","null"
"2025-01-15T12:00:00Z","59.9","59.1","60.6","null"
"2025-02-01T13:00:00Z","58.4","57.6","59.1","null"
"2025-02-27T22:00:00Z","62.1","61.0","63.5","null"
"2025-01-08T20:00:00Z","59.1","58.6","59.6","null"
"2025-01-12T12:00:00Z","57.4","57.0","58.0","null"
"2025-01-22T08:00:00Z","57.4","56.9","57.9","null"
"2025-01-10T11:00:00Z","58.6","58.1","59.1","null"
"2025-01-11T09:00:00Z","56.8","56.0","57.5","null"
"2025-01-07T05:00:00Z","60.8","59.5","62.0","null"
"2025-02-19T15:00:00Z","58.8","58.3","59.3","null"
"2025-02-10T13:00:00Z","59.6","57.9","61.1","null"
"2025-01-18T01:00:00Z","60.6","59.2","61.8","null"
"2025-01-20T12:00:00Z","58.3","58.0","58.5","null"
"2025-02-15T10:00:00Z","58.8","58.6","59.1","null"
"2025-01-24T11:00:00Z","56.2","51.2","59.6","null"
"2025-01-02T11:00:00Z","43.9","37.3","47.6","null"
"2025-01-25T00:00:00Z","61.7","60.1","63.4","null"
"2025-01-21T12:00:00Z","58.7","58.2","59.2","null"
"2025-02-04T07:00:00Z","57.9","57.4","58.4","null"
"2025-01-21T23:00:00Z","61.2","60.8","61.8","null"
"2025-02-17T03:00:00Z","61.5","60.8","62.2","null"
"2025-01-27T20:00:00Z","61.9","61.0","63.0","null"
"2025-02-19T21:00:00Z","59.3","59.3","59.3","null"
"2025-01-28T14:00:00Z","61.6","59.9","63.4","null"
"2025-01-11T21:00:00Z","58.8","58.0","60.0","null"
"2025-02-10T04:00:00Z","60.4","58.2","61.8","null"
"2025-01-21T17:00:00Z","57.2","56.8","57.8","null"
"2025-01-15T17:00:00Z","57.7","57.1","58.1","null"
"2025-02-16T23:00:00Z","61.3","60.8","61.8","null"
"2025-02-28T15:00:00Z","60.8","59.5","62.1","null"
"2025-01-19T14:00:00Z","58.3","58.1","58.6","null"
"2025-02-11T20:00:00Z","59.3","58.6","60.1","null"
"2025-01-20T23:00:00Z","60.5","60.0","61.0","null"
"2025-01-24T19:00:00Z","59.5","58.6","60.6","null"
"2025-01-24T07:00:00Z","59.2","58.8","59.8","null"
"2025-01-02T05:00:00Z","49.5","48.1","51.1","null"
"2025-02-07T17:00:00Z","58.4","57.7","59.2","null"
"2025-01-30T05:00:00Z","60.3","58.7","61.9","null"
"2025-02-04T02:00:00Z","60.5","58.9","62.1","null"
"2025-01-07T21:00:00Z","59.5","59.0","60.0","null"
"2025-01-16T18:00:00Z","58.6","57.4","59.4","null"
"2025-01-16T22:00:00Z","61.9","60.9","62.9","null"
"2025-02-01T09:00:00Z","57.9","57.6","58.1","null"
"2025-02-08T07:00:00Z","58.7","58.1","59.1","null"
"2025-01-15T13:00:00Z","59.6","59.1","60.1","null"
"2025-02-27T16:00:00Z","60.2","58.8","61.2","null"
"2025-01-29T18:00:00Z","59.9","59.2","60.7","null"
"2025-01-30T07:00:00Z","61.0","59.1","62.6","null"
"2025-02-26T10:00:00Z","61.6","60.1","63.1","null"
"2025-01-19T13:00:00Z","57.4","57.1","57.6","null"
"2025-01-08T05:00:00Z","59.6","58.2","61.2","null"
"2025-01-20T17:00:00Z","55.6","55.0","56.0","null"
"2025-01-04T03:00:00Z","61.5","59.6","63.2","null"
"2025-01-10T07:00:00Z","55.8","51.3","60.0","null"
"2025-01-15T07:00:00Z","59.6","59.0","60.5","null"
"2025-01-23T23:00:00Z","60.1","58.5","61.6","null"
"2025-02-18T19:00:00Z","57.4","57.2","57.7","null"
"2025-01-21T07:00:00Z","59.0","58.2","59.8","null"
"2025-01-10T16:00:00Z","55.6","53.0","58.1","null"
"2025-02-25T02:00:00Z","62.4","60.8","63.9","null"
"2025-01-25T23:00:00Z","61.2","59.6","62.7","null"
"2025-02-09T16:00:00Z","58.5","57.6","59.6","null"
"2025-02-08T06:00:00Z","59.3","57.1","60.8","null"
"2025-01-29T09:00:00Z","58.9","52.6","62.4","null"
"2025-01-23T12:00:00Z","59.8","58.8","60.8","null"
"2025-01-05T17:00:00Z","57.9","57.3","58.8","null"
"2025-01-23T18:00:00Z","57.0","56.3","57.3","null"
"2025-02-28T14:00:00Z","60.8","59.1","62.6","null"
"2025-02-22T18:00:00Z","60.8","59.4","62.1","null"
"2025-01-26T09:00:00Z","59.0","58.1","59.6","null"
"2025-02-05T09:00:00Z","58.5","58.3","58.8","null"
"2025-02-07T12:00:00Z","57.6","52.9","61.5","null"
"2025-02-13T18:00:00Z","58.2","57.8","58.8","null"
"2025-02-11T15:00:00Z","58.6","58.1","59.1","null"
"2025-01-13T05:00:00Z","57.5","57.0","58.5","null"
"2025-02-16T22:00:00Z","59.8","59.3","60.3","null"
"2025-02-17T04:00:00Z","60.1","59.8","60.2","null"
"2025-01-28T23:00:00Z","61.8","60.5","63.5","null"
"2025-02-12T01:00:00Z","61.2","59.7","63.2","null"
"2025-01-15T01:00:00Z","61.1","59.7","62.2","null"
"2025-01-28T19:00:00Z","61.2","60.8","61.8","null"
"2025-01-09T14:00:00Z","59.0","58.0","59.5","null"
"2025-01-19T08:00:00Z","56.0","55.1","56.6","null"
"2025-02-21T01:00:00Z","60.7","59.1","62.1","null"
"2025-01-18T05:00:00Z","59.5","58.2","60.8","null"
"2025-02-20T16:00:00Z","58.6","58.3","58.8","null"
"2025-02-25T16:00:00Z","61.4","59.2","63.2","null"
"2025-02-09T12:00:00Z","59.2","58.6","59.6","null"
"2025-01-04T22:00:00Z","60.0","59.2","60.8","null"
"2025-01-03T00:00:00Z","61.2","59.4","62.9","null"
"2025-01-20T20:00:00Z","57.2","56.5","58.0","null"
"2025-02-12T05:00:00Z","59.1","57.7","60.7","null"
"2025-02-21T15:00:00Z","61.2","59.8","62.8","null"
"2025-01-26T02:00:00Z","61.7","60.2","63.3","null"
"2025-01-02T03:00:00Z","51.3","50.6","52.1","null"
"2025-01-13T12:00:00Z","57.1","56.4","57.9","null"
"2025-01-26T07:00:00Z","61.4","61.1","62.1","null"
"2025-02-25T03:00:00Z","62.6","60.9","64.0","null"
"2025-02-10T07:00:00Z","59.5","58.8","60.2","null"
"2025-03-01T04:00:00Z","62.0","61.0","63.1","null"
"2025-02-28T05:00:00Z","60.8","59.1","62.8","null"
"2025-01-25T13:00:00Z","59.7","58.9","60.4","null"
"2025-02-15T03:00:00Z","60.4","59.1","61.7","null"
"2025-01-23T09:00:00Z","58.3","57.8","58.8","null"
"2025-02-28T11:00:00Z","60.9","59.6","62.6","null"
"2025-01-26T19:00:00Z","59.1","58.6","59.6","null"
"2025-02-13T00:00:00Z","61.8","61.8","61.8","null"
"2025-01-16T00:00:00Z","61.3","59.9","62.9","null"
"2025-02-15T17:00:00Z","58.1","57.6","59.1","null"
"2025-02-16T09:00:00Z","58.5","57.8","58.8","null"
"2025-02-16T19:00:00Z","58.6","58.3","58.8","null"
"2025-02-07T21:00:00Z","60.3","59.2","61.7","null"
"2025-02-25T09:00:00Z","62.7","60.9","64.5","null"
"2025-01-12T23:00:00Z","59.0","58.5","59.5","null"
"2025-02-03T16:00:00Z","57.8","56.9","58.4","null"
